brand,product_count,avg_price,median_price,min_price,max_price,avg_list_price,avg_discount_pct,avg_rating,total_ratings
American Tourister,11,6501.0,6620.0,1940.0,11100.0,11714.0,46.3,4.02,42825
Skybags,14,3884.0,3980.0,1630.0,6370.0,9171.0,57.6,3.77,44139
VIP,14,3050.0,3025.0,1650.0,5720.0,6344.0,52.5,4.04,73969
Nasher Miles,13,2309.0,2040.0,820.0,3970.0,5611.0,58.9,4.05,25731
Safari,14,2184.0,2145.0,930.0,3760.0,5239.0,59.6,3.95,87345
Aristocrat,14,1817.0,1875.0,800.0,2940.0,5085.0,64.1,3.9,103424
