brand,product_count,avg_price,median_price,min_price,max_price,avg_list_price,avg_discount_pct,avg_rating,total_ratings,sentiment_score,cat_adj_price,z_sentiment,z_price,vfm_score,positioning
Nasher Miles,13,2309.0,2040.0,820.0,3970.0,5611.0,58.9,4.05,25731,0.559,0.9393439155424246,1.6302225010593696,-0.5618085988602572,2.19,Mid-tier
Safari,14,2184.0,2145.0,930.0,3760.0,5239.0,59.6,3.95,87345,0.289,0.8368409459781194,-0.541619975680909,-0.7134622458206301,0.17,Value
Aristocrat,14,1817.0,1875.0,800.0,2940.0,5085.0,64.1,3.9,103424,0.228,0.7417420512691008,-1.0322954982037125,-0.8541615276641235,-0.18,Value
VIP,14,3050.0,3025.0,1650.0,5720.0,6344.0,52.5,4.04,73969,0.32,1.255121197960358,-0.292260283907025,-0.0946145584390942,-0.2,Mid-tier
Skybags,14,3884.0,3980.0,1630.0,6370.0,9171.0,57.6,3.77,44139,0.289,1.6015327082960962,-0.541619975680909,0.4179029726604127,-0.96,Premium
American Tourister,11,6501.0,6620.0,1940.0,11100.0,11714.0,46.3,4.02,42825,0.453,2.5398472581469558,0.7775732324131861,1.806143958123691,-1.03,Premium
